iter	Passed	Remaining
0	4	4613
1	10	5056
2	14	4804
3	18	4668
4	23	4709
5	27	4563
6	31	4451
7	34	4339
8	39	4396
9	43	4343
10	47	4285
11	51	4236
12	56	4298
13	60	4275
14	64	4254
15	68	4227
16	74	4292
17	78	4260
18	81	4224
19	85	4185
20	90	4207
21	95	4246
22	99	4214
23	103	4196
24	107	4203
25	111	4177
26	115	4155
27	119	4145
28	124	4152
29	127	4138
30	131	4112
31	135	4097
32	140	4124
33	144	4101
34	148	4084
35	153	4106
36	157	4110
37	161	4077
38	164	4044
39	167	4019
40	171	4007
41	175	4001
42	178	3972
43	181	3946
44	185	3939
45	189	3930
46	193	3916
47	196	3890
48	199	3872
49	203	3866
50	206	3843
51	209	3820
52	212	3799
53	215	3783
54	220	3780
55	222	3758
56	225	3737
57	229	3726
58	232	3714
59	236	3705
60	239	3687
61	242	3668
62	245	3650
63	248	3639
64	252	3632
65	255	3615
66	258	3600
67	261	3583
68	264	3570
69	268	3565
70	271	3550
71	274	3537
72	277	3524
73	280	3512
74	284	3508
75	288	3510
76	291	3497
77	294	3486
78	299	3489
79	302	3478
80	305	3465
81	308	3453
82	311	3444
83	315	3444
84	318	3432
85	321	3420
86	324	3408
87	327	3397
88	331	3396
89	334	3387
90	337	3375
91	340	3365
92	343	3354
93	348	3358
94	351	3348
95	354	3337
96	357	3328
97	360	3317
98	364	3317
99	367	3311
100	370	3300
101	373	3290
102	376	3280
103	381	3284
104	384	3275
105	387	3267
106	390	3257
107	393	3247
108	397	3251
109	402	3252
110	405	3243
111	407	3234
112	411	3229
113	415	3226
114	418	3217
115	421	3208
116	423	3199
117	427	3193
118	431	3191
119	433	3181
120	436	3172
121	439	3164
122	442	3157
123	447	3158
124	450	3150
125	452	3141
126	455	3133
127	459	3127
128	463	3127
129	466	3120
130	469	3113
131	472	3105
132	475	3098
133	479	3097
134	482	3089
135	484	3080
136	488	3078
137	491	3072
138	495	3069
139	499	3067
140	502	3061
141	505	3053
142	509	3051
143	512	3046
144	515	3040
145	518	3034
146	521	3026
147	525	3025
148	528	3020
149	531	3013
150	535	3010
151	538	3004
152	542	3003
153	545	2997
154	548	2992
155	551	2985
156	554	2978
157	558	2978
158	561	2972
159	565	2968
160	569	2966
161	573	2965
162	577	2965
163	581	2961
164	584	2959
165	588	2956
166	592	2957
167	596	2955
168	600	2951
169	604	2949
170	608	2950
171	613	2954
172	617	2952
173	621	2952
174	626	2952
175	629	2949
176	633	2946
177	637	2942
178	641	2943
179	645	2940
180	649	2936
181	652	2933
182	657	2936
183	661	2932
184	665	2930
185	668	2926
186	673	2928
187	677	2925
188	680	2922
189	685	2922
190	690	2922
191	693	2919
192	697	2916
193	701	2915
194	705	2914
195	710	2916
196	714	2914
197	719	2914
198	722	2909
199	725	2902
200	728	2896
201	732	2893
202	736	2892
203	739	2887
204	742	2880
205	745	2874
206	748	2869
207	753	2867
208	756	2862
209	759	2857
210	762	2851
211	765	2844
212	769	2843
213	772	2837
214	775	2832
215	778	2826
216	781	2820
217	785	2818
218	789	2814
219	792	2810
220	796	2806
221	799	2801
222	803	2798
223	806	2795
224	810	2791
225	814	2787
226	818	2787
227	823	2788
228	827	2784
229	830	2781
230	835	2781
231	839	2778
232	842	2774
233	846	2771
234	851	2772
235	855	2770
236	859	2766
237	863	2763
238	868	2764
239	871	2760
240	875	2756
241	878	2753
242	884	2754
243	887	2750
244	891	2746
245	895	2743
246	900	2745
247	904	2741
248	907	2737
249	911	2734
250	916	2734
251	921	2735
252	925	2731
253	929	2730
254	933	2728
255	937	2724
256	941	2722
257	946	2722
258	950	2718
259	953	2714
260	957	2711
261	962	2710
262	965	2705
263	968	2700
264	971	2694
265	974	2689
266	979	2688
267	982	2682
268	985	2677
269	988	2671
270	991	2665
271	995	2664
272	998	2659
273	1001	2653
274	1004	2648
275	1007	2642
276	1011	2640
277	1015	2636
278	1018	2632
279	1022	2628
280	1027	2628
281	1030	2623
282	1033	2618
283	1036	2613
284	1039	2607
285	1043	2605
286	1046	2600
287	1050	2596
288	1053	2590
289	1056	2585
290	1060	2584
291	1063	2578
292	1066	2573
293	1069	2568
294	1072	2562
295	1076	2561
296	1079	2556
297	1083	2551
298	1086	2546
299	1089	2541
300	1093	2539
301	1096	2534
302	1099	2529
303	1102	2524
304	1105	2519
305	1109	2516
306	1112	2512
307	1115	2507
308	1118	2502
309	1121	2496
310	1125	2494
311	1131	2495
312	1136	2493
313	1141	2494
314	1146	2492
315	1149	2489
316	1153	2485
317	1159	2485
318	1162	2482
319	1166	2478
320	1169	2474
321	1175	2475
322	1179	2472
323	1183	2468
324	1186	2465
325	1193	2467
326	1197	2464
327	1201	2460
328	1206	2459
329	1209	2456
330	1213	2452
331	1217	2449
332	1222	2448
333	1227	2447
334	1231	2444
335	1234	2440
336	1240	2439
337	1243	2435
338	1247	2433
339	1251	2429
340	1256	2428
341	1260	2424
342	1264	2421
343	1267	2417
344	1272	2416
345	1276	2412
346	1280	2409
347	1283	2405
348	1288	2403
349	1291	2398
350	1294	2393
351	1297	2388
352	1300	2383
353	1304	2380
354	1307	2375
355	1311	2371
356	1314	2367
357	1317	2362
358	1321	2359
359	1324	2354
360	1328	2350
361	1331	2346
362	1335	2342
363	1338	2339
364	1342	2335
365	1345	2330
366	1348	2325
367	1352	2323
368	1355	2318
369	1359	2314
370	1361	2309
371	1364	2304
372	1369	2301
373	1372	2296
374	1375	2292
375	1378	2287
376	1381	2282
377	1385	2280
378	1388	2275
379	1391	2270
380	1394	2266
381	1398	2262
382	1402	2259
383	1405	2254
384	1408	2249
385	1411	2244
386	1414	2240
387	1418	2238
388	1422	2233
389	1425	2229
390	1428	2224
391	1432	2221
392	1436	2217
393	1440	2215
394	1443	2210
395	1446	2206
396	1450	2203
397	1454	2199
398	1457	2195
399	1460	2190
400	1464	2187
401	1467	2183
402	1471	2179
403	1474	2174
404	1477	2170
405	1481	2167
406	1484	2163
407	1488	2159
408	1491	2155
409	1494	2150
